,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,New_Item_Type_0,New_Item_Type_1,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_Size_High,Outlet_Size_Medium,Item_Outlet_Sales
0,9.3,0.016047301,4,249.8092,14,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.225807736568045
1,5.92,0.019278216,14,48.2692,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,6.096776361579924
2,17.5,0.016760075,10,141.618,14,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7.648868474670161
3,19.2,0.066132028778951,6,182.095,15,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,6.597663985017227
4,8.93,0.066132028778951,9,53.8614,26,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.903451229836965
5,10.395,0.066132028778951,0,51.4008,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,6.3236576412443055
6,13.65,0.012741089,13,57.6588,26,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,5.842247344312063
7,12.857645184135976,0.127469857,13,107.7622,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,8.299972962538963
8,16.2,0.016687114,5,96.9726,11,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,6.98249032591194
9,19.2,0.09444959,5,187.8214,6,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,8.457769036251289
10,11.8,0.066132028778951,6,45.5402,14,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7.324507513802581
11,18.5,0.045463773,4,144.1102,16,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7.690813087970959
