,Unnamed: 0,Item_Outlet_Sales,Item_Weight,Item_Visibility,log_Item_MRP,log_Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Size_0,Outlet_Size_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,New_Item_Type_0,New_Item_Type_1,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Item_Type_0,Item_Type_1,Item_Type_2,Item_Type_3,Item_Type_4,Item_Type_5,Item_Type_6,Item_Type_7,Item_Type_8,Item_Type_9,Item_Type_10,Item_Type_11,Item_Type_12,Item_Type_13,Item_Type_14,Type1_Tear1,Type1_Tear2
0,0,8.225807736568045,-0.8418716873704777,-1.111357872093678,1.3204645354409374,0.1324626032293418,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,6.096776361579924,-1.641705891186194,-1.0450672677098058,-1.8064287487356872,-1.790132896192839,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,7.648868474670161,1.0985544875670583,-1.0967334640702202,0.2357836643820231,0.1324626032293418,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,3,6.597663985017227,1.5008379628589867,-0.0837397283578105,0.7158204579944563,0.2454064247743259,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,4,6.903451229836965,-0.929427502581074,-0.0837397283578105,-1.5998560707261145,1.16110210436875,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,6.3236576412443055,-0.5827538018147947,-0.0837397283578105,-1.6880261104875705,-1.790132896192839,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,5.842247344312063,0.1875007347000445,-1.1791933898034324,-1.4712605665317449,1.16110210436875,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,7,8.299972962538963,0.0,1.174764969032082,-0.2849303131679823,1.2861568520377415,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,8,6.98249032591194,0.7909259476379368,-1.0982304482949528,-0.4856717639063304,-0.2580434851395525,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,9,8.457769036251289,1.5008379628589867,0.4972685148242719,0.774993131570913,-1.2012991333803724,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,10,7.324507513802581,-0.2502783413529361,-0.0837397283578105,-1.915915967754303,0.1324626032293418,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,11,7.690813087970959,1.3351918259740752,-0.5078026229703643,0.2690696822594003,0.3515008370257634,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12,12,7.371655696463161,0.5306248753902185,0.6114265649857495,0.2871038428713178,0.1324626032293418,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13,13,7.671457656629242,1.1222182214077605,-0.471003188461652,-0.0851732954773167,0.3515008370257634,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
14,14,7.590056858053727,0.8264215483989897,-0.044914874438241,0.8607771005650173,1.16110210436875,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,15,7.344925234443442,-0.9128628888925828,-0.0230705915790701,-1.5142348758574495,0.3515008370257634,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,16,7.391963050071823,-0.2502783413529361,-1.2642395993800124,-0.1553653325353197,-1.790132896192839,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,17,6.578415029173322,-0.9128628888925828,-0.0208666941475705,-1.5824238762603,0.1324626032293418,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,18,7.742691910349596,0.0,-0.7381350078391545,-0.1897868261265374,1.2861568520377415,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,19,7.919146132236254,0.1165095331779394,0.6622818854872028,1.1668273150995152,-0.577110191524809,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,20,8.236443302429764,1.4180148944165314,1.3947222012863971,1.3285923379934768,1.16110210436875,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,21,8.310179649231715,0.0,-0.7142886180920656,0.2748103638547623,1.2861568520377415,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,7.37039888961736,0.4123062061867102,-0.9133459923698792,0.8614173264039233,-0.577110191524809,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,23,5.372439195748607,0.0,-0.2596787341648241,-0.2861390596940626,1.2861568520377415,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,8.31361326825195,0.2348282023814477,-0.9092763069494502,0.5277317795700358,0.3515008370257634,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25,25,6.733292362029665,0.0336864647354836,0.6088332025722201,-1.900872956096405,-1.2012991333803724,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
26,26,6.9719312344007,-1.2335064824340904,-0.0722209820338086,-2.0540754763007607,-0.577110191524809,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
27,27,5.736350337363997,-0.2857739421139887,-1.0434686188034823,-2.2013056651884737,1.16110210436875,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,28,5.189809681521668,-1.640522704494159,1.8722950078518237,-1.9172210168218669,0.2454064247743259,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,29,4.842896490217898,0.0,0.0412077497075219,-1.995779801480284,1.2861568520377415,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,5.10465251718005,1.5126698297793375,2.054532632511657,-1.5332813446821214,0.2454064247743259,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,31,7.916721595888904,1.3588555598147771,0.2178144025804976,-0.4960744785856022,-1.790132896192839,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,32,8.029109139987389,1.3825192936554784,-0.0837397283578105,1.3722971998735851,-1.790132896192839,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33,33,7.685015089220353,1.1813775560095148,-0.0837397283578105,-0.5622718771104748,-0.2580434851395525,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,34,7.6431405389407,1.0985544875670583,0.5681452940392061,0.6385058103245876,0.3515008370257634,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
35,35,8.240666057319922,-0.6762255504855662,0.3914294670449902,0.3031916407266919,0.1324626032293418,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36,36,7.936907301237016,0.0,-0.21957065285719,0.0439654826190757,1.2861568520377415,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,37,7.384551039392579,-0.9483584896536356,0.8804202945267885,-0.0401588791163821,-1.790132896192839,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,38,5.96399416759279,0.0,1.0853410023511,-2.3060816169770724,1.2861568520377415,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,39,7.687765700560121,0.0,-0.8972844089101525,-0.6784519184377928,1.2861568520377415,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,40,8.142216938353288,0.1165095331779394,0.66267959854229,1.167656993392618,0.3515008370257634,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
41,41,7.673936355081979,-0.7235530181669694,-0.8903602131312317,0.0129634727157506,1.16110210436875,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,42,7.835332794792717,0.1756688677796936,0.9767392194142864,0.8261240294705798,0.1324626032293418,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
43,43,8.820185875977355,2.0096082404340727,-0.0227860125409944,1.396458785942087,-1.790132896192839,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,44,5.925628651410538,-0.1674552729104803,-0.5731697509357254,0.0205522973601907,1.16110210436875,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,45,5.88388045001317,-1.5233872219826858,0.3956927975239167,0.6734346486812378,0.2454064247743259,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
46,46,7.795580032065621,1.5954928982217935,-0.0837397283578105,0.3870844653622571,-0.2580434851395525,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
47,47,8.668384731590896,-0.6762255504855662,-0.9096232184401338,1.435058149434419,-0.2580434851395525,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
48,48,7.85463185832182,0.708102879195481,1.0550009785492445,-1.3765707972419583,0.3515008370257634,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,49,6.66098172530728,0.0,3.799479067403723,0.8650231235479214,1.2861568520377415,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,50,8.050571485017242,-1.2938490037278798,-0.0499332318834359,0.2660350856237072,0.3515008370257634,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
51,51,6.747460227774114,-0.6300812694961979,1.8381807930279792,0.2344008948401989,1.16110210436875,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,52,6.699431864910897,-0.7010724710183031,-0.85181787050807,-0.1274943415144232,1.16110210436875,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,53,8.04631570847155,-0.4644351326112864,-0.1061130938953478,0.8601619714888933,-1.2012991333803724,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
54,54,8.479712608158346,-0.1674552729104803,-0.8505236001186791,0.3641404778889137,-1.2012991333803724,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
55,55,8.741858783837994,-1.171980774448266,-1.2343443559954177,1.314568901141135,-1.790132896192839,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,56,7.658342722547712,-0.8667186079032145,-0.4525371480825246,-0.3134061652388373,-0.2580434851395525,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
57,57,6.682061729183589,-1.0631275987810385,0.0357992296820783,-2.2530435042877177,0.1324626032293418,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
58,58,8.499288861213493,0.5306248753902185,2.1188091887675133,0.8418871882977154,0.3515008370257634,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
59,59,6.794779171512263,0.0,-0.1873505403029199,0.6940737709796612,1.2861568520377415,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,8.066580245806012,-0.6762255504855662,-0.0837397283578105,1.2981589287827808,-1.790132896192839,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,61,6.969430454655927,-1.15659934745181,-0.6184466657278657,-0.6842800690552332,-0.2580434851395525,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
62,62,6.185596090661295,0.0,-1.1925506516976532,-2.241554546405645,1.2861568520377415,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,63,5.002654196363512,0.0,1.642897137867477,-1.7002237249917396,1.2861568520377415,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64,64,7.841632851776647,0.0,-0.9068340155854774,1.3660859695455074,1.2861568520377415,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,65,5.222659116411064,1.1458819552484618,2.561720904540756,0.7504682297492087,0.2454064247743259,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,66,8.490164464233796,1.5363335636200397,-0.7618424113999475,0.6132126810737977,-0.577110191524809,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
67,67,7.0206767385268405,0.1875007347000445,0.179181474776867,0.7566155090433474,-0.2580434851395525,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
68,68,7.742113959496482,1.1222182214077605,-0.5850106805134396,0.5257818454614984,-0.2580434851395525,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
69,69,7.614983356759096,-0.9968691440270738,1.5020777660405376,-0.5079935565476568,0.3515008370257634,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70,70,8.142216938353288,0.6489435445937268,0.7198122360979019,0.5864891715049222,0.3515008370257634,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
71,71,6.397296254677018,0.708102879195481,1.0529241876167268,-1.4207271830287618,1.16110210436875,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,72,8.435044040080516,1.276032491372321,-0.0837397283578105,0.524622990194557,-0.2580434851395525,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,73,7.734570042892227,-1.1838126413686167,-1.2082509613504269,0.7931966426825635,-1.2012991333803724,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
74,74,8.627255046439146,-1.1909117615208271,2.3829905369962514,1.355088765879488,0.1324626032293418,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75,75,7.7368973153479965,-1.057211665320863,-0.9439679484400978,-0.1774824263363963,0.3515008370257634,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
76,76,7.09680034888645,-0.0018091360255688,-0.7587934763143609,0.6106472236747109,0.1324626032293418,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
77,77,6.467951489188129,0.0,0.8926580343854245,-0.6279403195762755,1.2861568520377415,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,78,7.370818000764178,1.4535104951775837,0.8687788985572419,-0.3350434708831961,-1.2012991333803724,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
79,79,8.57661132571922,-1.6452554512622992,-0.0837397283578105,1.0993540590054236,-0.2580434851395525,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
80,80,7.437671511913667,-1.2062931885172836,-0.2228446659563086,-0.3919487257640111,0.3515008370257634,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
81,81,7.264362860652083,-0.2502783413529361,-1.1515773639403712,0.6972551914720811,0.3515008370257634,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
82,82,8.454229962187917,0.921076483761796,-0.5125797140198324,0.7763582412270399,-1.790132896192839,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,83,6.370313226611205,0.0,4.579616758638302,0.8428952398825649,1.2861568520377415,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,84,8.036888754547524,0.0,-0.7967258308479777,0.5999118762675979,1.2861568520377415,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,7.8161909202534385,0.6252798107530253,1.1527906866930813,0.6616253707914161,-1.2012991333803724,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
86,86,7.907454371437515,-1.609759850501247,-0.9193830073552604,0.4805278045653032,-0.577110191524809,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
87,87,8.097646298741116,0.0,-0.6392403041167596,0.4199325336210966,1.2861568520377415,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,6.496481131025555,-1.5506005158994929,1.0854294537017233,-0.5119141464141571,0.3515008370257634,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
89,89,7.329323631078592,1.8912895712305648,-0.6276205952447792,-0.1237284278693011,0.1324626032293418,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
90,90,5.914904725472544,1.8676258373898629,-0.6112642355024258,-0.0458566451973543,0.2454064247743259,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,91,6.538768569625618,-0.9377098094253196,0.7193616492013496,-2.1634880743941207,0.1324626032293418,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
92,92,7.23167404953173,1.5954928982217935,-0.7436231976847024,-1.5548572073757974,-0.2580434851395525,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
93,93,6.435385652972204,1.619156632062495,-0.3488142644999327,-1.4636044470970095,-0.577110191524809,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
94,94,7.150969029635072,-0.7235530181669694,-0.9404174812703928,-0.1686223087069186,-0.577110191524809,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
95,95,6.19106430568552,0.0,-1.2412897669672271,-0.0793991886066264,1.2861568520377415,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,96,7.116986501082949,-0.1674552729104803,1.2550688853997547,1.2914167490703163,0.1324626032293418,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
97,97,8.231139658839913,-0.972022223494337,0.0902712481488321,0.7712672072866203,-0.577110191524809,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
98,98,8.38129401494555,0.0,-0.8566840489535963,0.345144126477995,1.2861568520377415,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,99,7.18181184438651,-0.972022223494337,0.0905607719272232,0.7753411130162035,0.3515008370257634,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
100,100,7.499229359226499,0.1046776662575888,-0.1337399735659894,0.3590931196048839,-0.2580434851395525,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
101,101,7.957159956361889,0.0,-0.5009485973652157,0.6780871699016537,1.2861568520377415,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,102,8.26802943164612,-1.076142652393424,0.9365016515666884,0.684160688156148,0.1324626032293418,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
